Species,,GrowthType,SpawningType,Temp,BodyWEight,g,Source
Acartia,clausi,A,B,6.5,3.9,0.018,57
,,,,,,,
Acartia,erythraea,A,B,26,4,0.089,5
,,,,,,,
Acartia,fossae,A,B,23.2,5.13,0.031,6
Acartia,fossae,A,B,21.3,5.13,0.038,6
Acartia,fossae,A,B,23,5.13,0.041,6
Acartia,fossae,A,B,22.9,5.13,0.083,6
Acartia,fossae,A,B,22.2,5.13,0.043,6
,,,,,,,
Acartia,grani,A,B,16.9,4,0.2,44
Acartia,grani,A,B,16,4,0.14,44
Acartia,grani,A,B,18,4,0.59,44
Acartia,grani,A,B,17.7,4,0.35,44
Acartia,grani,A,B,20.3,4,0.29,44
Acartia,grani,A,B,25,4,0.2,44
Acartia,grani,A,B,17.1,4,0.08,44
Acartia,grani,A,B,17.8,4,0.03,44
Acartia,grani,A,B,16,4,0.03,44
Acartia,grani,A,B,14.6,4,0,44
,,,,,,,
Acartia,hudsonica,A,B,4,2.5,0.28,52
Acartia,hudsonica,A,B,4,2.5,0.26,52
Acartia,hudsonica,A,B,4,2.5,0.13,52
Acartia,hudsonica,A,B,4,2.5,0.2,52
Acartia,hudsonica,A,B,4,2.5,0.25,52
Acartia,hudsonica,A,B,4,6.49,0.157,34
Acartia,hudsonica,A,B,4,6.93,0.172,34
Acartia,hudsonica,A,B,4,7.17,0.151,34
Acartia,hudsonica,A,B,4,7.64,0.138,34
Acartia,hudsonica,A,B,4,7.39,0.13,34
Acartia,hudsonica,A,B,4,7.34,0.194,34
Acartia,hudsonica,A,B,4,7.23,0.158,34
Acartia,hudsonica,A,B,4,5.99,0.137,34
Acartia,hudsonica,A,B,8,5.91,0.171,34
Acartia,hudsonica,A,B,8,4.88,0.127,34
Acartia,hudsonica,A,B,8,4.74,0.085,34
Acartia,hudsonica,A,B,8,6.61,0.249,34
Acartia,hudsonica,A,B,12,5.44,0.314,34
Acartia,hudsonica,A,B,12,5.79,0.406,34
Acartia,hudsonica,A,B,12,5.32,0.331,34
Acartia,hudsonica,A,B,16,4.37,0.468,34
Acartia,hudsonica,A,B,16,4.17,0.326,34
,,,,,,,
Acartia,lilljeborgi,A,B,28,3.37,1.123,59
Acartia,lilljeborgi,A,B,28,3.37,0.44,59
,,,,,,,
Acartia,spinata,C,B,28,0.214,0.718,58
Acartia,spinata,C,B,28,0.445,0.745,58
Acartia,spinata,C,B,28,0.817,0.843,58
Acartia,spinata,C,B,28,0.312,0.82,58
Acartia,spinata,C,B,28,0.706,0.82,58
Acartia,spinata,C,B,28,0.328,0.204,58
Acartia,spinata,C,B,28,1.211,0.597,58
Acartia,spinata,C,B,28,0.211,0.684,58
Acartia,spinata,C,B,28,0.352,0.843,58
Acartia,spinata,C,B,28,0.584,0.921,58
Acartia,spinata,N,B,28,0.023,0.558,60
Acartia,spinata,N,B,28,0.041,0.399,60
Acartia,spinata,N,B,28,0.035,0.421,60
Acartia,spinata,N,B,28,0.018,0.62,60
Acartia,spinata,N,B,28,0.034,0.537,60
Acartia,spinata,N,B,28,0.017,0.562,60
Acartia,spinata,N,B,28,0.033,0.787,60
Acartia,spinata,N,B,28,0.014,0.62,60
Acartia,spinata,N,B,28,0.014,0.625,60
Acartia,spinata,N,B,28,0.034,0.876,60
,,,,,,,
Acartia,tonsa,A,B,3,3,0.04,7
,,,,,,,
Acartia,longiremis,A,B,16.5,4.4,0.13,8
Acartia,longiremis,A,B,16.5,4.4,0.03,8
Acartia,longiremis,A,B,16.5,4.4,0.07,8
Acartia,longiremis,A,B,16.5,4.4,0.05,8
Acartia,longiremis,A,B,16.5,4.4,0.09,8
Acartia,longiremis,A,B,16.5,4.4,0.05,8
Acartia,longiremis,C,B,16.5,0.48,0.22,8
Acartia,longiremis,C,B,16.5,0.8,0.11,8
Acartia,longiremis,A,B,10,11.35,0.0541,67
Acartia,longiremis,A,B,10,11.35,0.0541,67
Acartia,longiremis,A,B,10,12.99,0.0473,67
Acartia,longiremis,A,B,10,11.35,0.0541,67
Acartia,longiremis,A,B,10,8.5,0.0722,67
Acartia,longiremis,A,B,10,11.35,0.0541,67
Acartia,longiremis,A,B,10,8.5,0.0722,67
Acartia,longiremis,A,B,10,14.77,0.0416,67
Acartia,longiremis,A,B,10,11.35,0.0541,67
Acartia,longiremis,A,B,10,8.5,0.3994,67
Acartia,longiremis,A,B,10,14.77,0.2299,67
Acartia,longiremis,A,B,10,11.35,0.2993,67
Acartia,longiremis,A,B,10,8.5,0.3994,67
Acartia,longiremis,A,B,10,11.35,0.2993,67
Acartia,longiremis,A,B,10,11.35,0.1529,67
Acartia,longiremis,A,B,10,11.35,0.1529,67
Acartia,longiremis,A,B,10,9.86,0.1761,67
Acartia,longiremis,A,B,10,12.99,0.1336,67
Acartia,longiremis,A,B,10,12.99,0.0981,67
Acartia,longiremis,A,B,10,11.35,0.1122,67
Acartia,longiremis,A,B,10,11.35,0.1122,67
Acartia,longiremis,A,B,10,11.35,0.1122,67
Acartia,longiremis,A,B,10,12.99,0.0981,67
Acartia,longiremis,A,B,10,11.35,0.0486,67
Acartia,longiremis,A,B,10,11.35,0.1034,67
Acartia,longiremis,A,B,10,14.77,0.0795,67
Acartia,longiremis,A,B,10,12.99,0.0828,67
Acartia,longiremis,A,B,10,12.99,0.0828,67
Acartia,longiremis,A,B,10,14.77,0.2262,67
Acartia,longiremis,A,B,10,14.77,0.2262,67
Acartia,longiremis,A,B,10,12.99,0.087,67
Acartia,longiremis,A,B,10,16.72,0.0514,67
Acartia,longiremis,A,B,10,16.72,0.1421,67
Acartia,longiremis,A,B,10,16.72,0.1163,67
Acartia,longiremis,A,B,10,16.72,0.0415,67
Acartia,longiremis,A,B,10,14.77,0,67
Acartia,longiremis,A,B,10,9.86,0,67
Acartia,longiremis,A,B,10,12.99,0.0599,67
Acartia,longiremis,A,B,10,12.99,0.0599,67
Acartia,longiremis,A,B,10,14.77,0.0526,67
Acartia,longiremis,A,B,10,9.86,0.0789,67
Acartia,longiremis,A,B,10,14.77,0.0526,67
Acartia,longiremis,A,B,10,14.77,0.0526,67
Acartia,longiremis,A,B,10,12.99,0.0599,67
Acartia,longiremis,A,B,10,14.77,0.0526,67
Acartia,longiremis,A,B,10,11.35,0,67
Acartia,longiremis,A,B,10,11.35,0,67
Acartia,longiremis,A,B,10,11.35,0,67
Acartia,longiremis,A,B,10,11.35,0,67
Acartia,longiremis,A,B,10,14.77,0,67
Acartia,longiremis,A,B,10,12.99,0.0685,67
Acartia,longiremis,A,B,10,11.35,0.0783,67
Acartia,longiremis,A,B,10,11.35,0.3341,67
Acartia,longiremis,A,B,10,12.99,0,67
Acartia,longiremis,A,B,10,11.35,0.1446,67
Acartia,longiremis,A,B,10,11.35,0.1446,67
Acartia,longiremis,A,B,10,16.72,0.0706,67
Acartia,longiremis,A,B,10,12.99,0.0909,67
Acartia,longiremis,A,B,10,11.35,0.1086,67
Acartia,longiremis,A,B,10,7.28,0.1693,67
Acartia,longiremis,A,B,10,12.99,0.0538,67
Acartia,longiremis,A,B,10,11.35,0.0616,67
Acartia,longiremis,A,B,10,14.77,0.0473,67
Acartia,longiremis,A,B,10,14.77,0.0473,67
Acartia,longiremis,A,B,10,11.35,0.0616,67
Acartia,longiremis,A,B,10,14.77,0.0473,67
Acartia,longiremis,A,B,10,8.5,0,67
Acartia,longiremis,A,B,10,11.35,0,67
Acartia,longiremis,A,B,10,8.5,0,67
Acartia,longiremis,A,B,10,12.99,0.2021,67
Acartia,longiremis,A,B,10,11.35,0.0235,67
Acartia,longiremis,A,B,10,11.35,0.0235,67
Acartia,longiremis,A,B,10,9.86,0.4682,67
Acartia,longiremis,A,B,10,14.77,0,67
Acartia,longiremis,A,B,10,12.99,0,67
Acartia,longiremis,A,B,10,11.35,0,67
Acartia,longiremis,A,B,10,11.35,0.029,67
Acartia,longiremis,A,B,14,11.35,0.01,67
Acartia,longiremis,A,B,14,12.99,0.0088,67
Acartia,longiremis,A,B,14,11.35,0.01,67
Acartia,longiremis,A,B,14,11.35,0.01,67
Acartia,longiremis,A,B,14,14.77,0,67
Acartia,longiremis,A,B,14,11.35,0,67
Acartia,longiremis,A,B,14,14.77,0,67
Acartia,longiremis,A,B,14,11.35,0.0068,67
Acartia,longiremis,A,B,14,12.99,0.0059,67
Acartia,longiremis,A,B,14,14.77,0.0517,67
Acartia,longiremis,A,B,14,12.99,0.0588,67
Acartia,longiremis,A,B,14,11.35,0.0494,67
Acartia,longiremis,A,B,14,11.35,0.0494,67
Acartia,longiremis,A,B,14,16.72,0.0335,67
Acartia,longiremis,A,B,14,12.99,0.04,67
Acartia,longiremis,A,B,14,9.86,0.0527,67
Acartia,longiremis,A,B,14,16.72,0.0504,67
Acartia,longiremis,A,B,14,16.72,0.0504,67
Acartia,longiremis,A,B,14,12.99,0.0777,67
Acartia,longiremis,A,B,14,9.86,0.1023,67
Acartia,longiremis,A,B,14,11.35,0.0889,67
Acartia,longiremis,A,B,14,14.77,0.0683,67
Acartia,longiremis,A,B,14,11.35,0.1639,67
Acartia,longiremis,A,B,14,16.72,0.1113,67
Acartia,longiremis,A,B,14,11.35,0.0518,67
Acartia,longiremis,A,B,14,12.99,0.0453,67
Acartia,longiremis,A,B,14,11.35,0.0518,67
Acartia,longiremis,A,B,14,12.99,0,67
Acartia,longiremis,A,B,14,11.35,0,67
Acartia,longiremis,A,B,14,14.77,0,67
Acartia,longiremis,A,B,14,12.99,0,67
Acartia,longiremis,A,B,14,12.99,0,67
Acartia,longiremis,A,B,14,12.99,0,67
Acartia,longiremis,A,B,14,12.99,0,67
,,,,,,,
Acartia,negligens,A,B,23,3.35,0.081,69
,,,,,,,
Acartia,omori,A,B,7.8,2.67,0.402,9
Acartia,omori,A,B,9.5,2.67,0.334,9
Acartia,omori,A,B,9.5,2.67,0.524,9
Acartia,omori,A,B,13,2.67,0.507,9
Acartia,omori,A,B,12.7,2.67,0.487,9
Acartia,omori,A,B,19.5,2.67,0.491,9
Acartia,omori,A,B,19.5,2.67,0.522,9
,,,,,,,
Acartia,pacijica,A,B,22,4,0.066,5
,,,,,,,
Acartia,tonsa,A,B,28,1.98,1.234,59
Acartia,tonsa,A,B,19,2.37,0.6,10
Acartia,tonsa,A,B,23,1.77,0.5,10
Acartia,tonsa,A,B,28,1.43,1,10
Acartia,tonsa,A,B,26,2.13,1,10
Acartia,tonsa,A,B,19,2.46,0.55,10
Acartia,tonsa,A,B,14,2.46,0.25,10
Acartia,tonsa,A,B,17.3,4,0.12,11
Acartia,tonsa,A,B,16.4,4,0.04,11
Acartia,tonsa,A,B,14.4,4,0.04,11
Acartia,tonsa,A,B,15.8,4,0.1,11
Acartia,tonsa,A,B,17.7,4,0.23,11
Acartia,tonsa,A,B,18,4,0.29,11
Acartia,tonsa,A,B,20.2,4,0.35,11
Acartia,tonsa,A,B,21.4,4,0.08,11
Acartia,tonsa,A,B,21.5,4,0.21,11
Acartia,tonsa,A,B,21.4,4,0.13,11
Acartia,tonsa,A,B,20.1,3.98,0.295,12
Acartia,tonsa,A,B,26.2,3.98,0.116,12
Acartia,tonsa,A,B,20.8,4.2,0.033,13
Acartia,tonsa,A,B,20.8,5,0.322,13
Acartia,tonsa,A,B,20.8,4.4,0.314,13
Acartia,tonsa,A,B,20.8,4.4,0.24,13
Acartia,tonsa,A,B,20.8,4.6,0.24,13
Acartia,tonsa,A,B,20.8,5.6,0.296,13
Acartia,tonsa,A,B,20.8,5,0.239,13
Acartia,tonsa,A,B,20.8,3.4,0.041,13
Acartia,tonsa,A,B,20.8,3.4,0.135,13
Acartia,tonsa,A,B,20.8,4.8,0.355,13
Acartia,tonsa,A,B,20.8,5,0.239,13
Acartia,tonsa,A,B,20.8,4,0.276,13
Acartia,tonsa,A,B,20.8,6.2,0.267,13
Acartia,tonsa,A,B,20.8,4.2,0.055,13
Acartia,tonsa,A,B,20.8,5.2,0.425,13
Acartia,tonsa,A,B,20.8,5,0.469,13
Acartia,tonsa,A,B,22.5,3.98,0.47,45
,,,,,,,
Acartia,tonsa,A,B,21,3.98,0.03,45
Acartia,tonsa,A,B,24.6,3.98,0.64,50
Acartia,tonsa,A,B,25.1,3.98,0.33,50
Acartia,tonsa,A,B,25.9,3.98,0.3,50
Acartia,tonsa,A,B,25.7,3.98,0.45,50
Acartia,tonsa,A,B,25.7,3.98,0.38,50
Acartia,tonsa,A,B,13.3,3.98,0.27,50
Acartia,tonsa,A,B,13.3,3.98,0.34,50
Acartia,tonsa,A,B,17.2,3.98,0.24,50
Acartia,tonsa,A,B,17.7,3.98,0.18,50
Acartia,tonsa,A,B,17.8,3.98,0.82,50
Acartia,tonsa,A,B,16.5,3.98,0.8,50
Acartia,tonsa,A,B,13,3.98,0.16,50
Acartia,tonsa,A,B,15.7,3.98,0.32,50
Acartia,tonsa,A,B,15.2,3.98,0.22,50
Acartia,tonsa,A,B,25.6,3.98,1.48,50
Acartia,tonsa,A,B,27.8,3.98,1.06,50
Acartia,tonsa,A,B,25.9,3.98,0.81,50
Acartia,tonsa,A,B,9,3.98,0.57,50
Acartia,tonsa,A,B,13,3.98,0.5,50
Acartia,tonsa,A,B,25,3.98,0.46,50
Acartia,tonsa,A,B,26.5,3.98,0.98,50
Acartia,tonsa,A,B,28,3.98,1.21,50
Acartia,tonsa,A,B,29,3.98,1.62,50
Acartia,tonsa,A,B,28.5,3.98,1.04,50
Acartia,tonsa,A,B,26,3.98,1.36,50
Acartia,tonsa,A,B,24.5,3.98,1.47,50
Acartia,tonsa,A,B,20,3.98,0.58,50
Acartia,tonsa,A,B,13.5,3.98,0.38,50
Acartia,tonsa,A,B,12,3.98,0.05,50
Acartia,tonsa,A,B,18.5,3.98,0.49,50
Acartia,tonsa,A,B,9.5,3.98,0.51,50
Acartia,tonsa,A,B,14,3.98,0.32,50
Acartia,tonsa,A,B,23,3.98,0.69,50
Acartia,tonsa,A,B,26,3.98,0.95,50
Acartia,tonsa,A,B,28,3.98,0.98,50
Acartia,tonsa,A,B,29,3.98,1.12,50
Acartia,tonsa,A,B,29,3.98,1.14,50
Acartia,tonsa,A,B,26,3.98,1.2,50
Acartia,tonsa,A,B,25,3.98,1.13,50
Acartia,tonsa,A,B,20,3.98,0.86,50
Acartia,tonsa,A,B,16.5,3.98,0.53,50
Acartia,tonsa,A,B,17.5,3.98,0.23,50
Acartia,tonsa,A,B,19,3.98,0.86,50
Acartia,tonsa,A,B,16.8,3,0.39,53
Acartia,tonsa,A,B,23.5,3,0.22,53
Acartia,tonsa,A,B,26.9,3,0.69,53
Acartia,tonsa,A,B,27.6,3,0.23,53
Acartia,tonsa,A,B,17.1,3,0.21,53
Acartia,tonsa,A,B,18.7,3,0.53,53
Acartia,tonsa,A,B,19.3,3,0.63,53
Acartia,tonsa,A,B,20,3,0.64,53
Acartia,tonsa,A,B,27.2,3,0.35,53
Acartia,tonsa,A,B,29.4,3,0.4,53
Acartia,tonsa,A,B,26,3,0.67,53
Acartia,tonsa,A,B,24.2,3,0.77,53
Acartia,tonsa,A,B,15.8,3,0.24,53
Acartia,tonsa,A,B,19,3.98,0.012,55
Acartia,tonsa,A,B,19,3.98,0.358,55
Acartia,tonsa,A,B,19,3.98,0.462,55
Acartia,tonsa,A,B,19,3.98,0.613,55
Acartia,tonsa,A,B,19,3.98,0.058,55
Acartia,tonsa,A,B,19,3.98,0.104,55
Acartia,tonsa,A,B,19,3.98,0.116,55
Acartia,tonsa,A,B,19,3.98,0.647,55
Acartia,tonsa,A,B,19,3.98,0.462,55
Acartia,tonsa,A,B,19,3.98,0.532,55
Acartia,tonsa,A,B,19,3.98,0.578,55
Acartia,tonsa,A,B,19,3.98,0.451,55
Acartia,tonsa,A,B,19,3.98,0.578,55
Acartia,tonsa,A,B,19,3.98,0.37,55
Acartia,tonsa,A,B,19,3.98,0.613,55
Acartia,tonsa,A,B,15,3.98,0.104,55
Acartia,tonsa,A,B,15,3.98,0.046,55
Acartia,tonsa,A,B,15,3.98,0.035,55
,,,,,,,
Acartia,tumida,A,B,6,24,0.006,51
Acartia,tumida,A,B,6,24,0.01,51
Acartia,tumida,A,B,6,24,0.009,51
Acartia,tumida,A,B,6,24,0.053,51
Acartia,tumida,A,B,6,24,0.029,51
Acartia,tumida,A,B,6,24,0.027,51
Acartia,tumida,A,B,6,24,0.109,51
Acartia,tumida,A,B,6,24,0.147,51
Acartia,tumida,A,B,6,24,0.147,51
Acartia,tumida,A,B,6,24,0.08,51
Acartia,tumida,A,B,6,24,0.16,51
Acartia,tumida,A,B,6,24,0.229,51
Acartia,tumida,A,B,6,24,0.072,51
Acartia,tumida,A,B,6,24,0.037,51
Acartia,tumida,A,B,6,24,0.053,51
Acartia,tumida,A,B,6,24,0.083,51
,,,,,,,
Acartia,sp.,A,B,7.5,2.67,0.324,14
Acartia,sp.,A,B,9,2.67,0.153,14
Acartia,spp.,A,B,12,2.67,0.03,25
Acartia,spp.,A,B,12,2.67,0.187,25
Acartia,spp.,A,B,12,2.67,0.143,25
Acartia,spp.,A,B,12,2.67,0.276,25
Acartia,spp.,A,B,12,2.67,0.02,25
Acartia,spp.,A,B,27.5,2.62,0.002,69
Acartia,spp.,A,B,23,4.43,0.008,69
Acartia,spp.,A,B,22,3.79,0.025,69
Acartia,spp.,A,B,21.5,3.34,0.014,69
,,,,,,,
Calanidae:,,,,,,,
,,,,,,,
Calanoides,acutus,A,B,3.5,228,0.013,15
Calanus,acutus,A,B,0.5,135,0.036,16
Calanus,acutus,A,B,0.5,135,0.039,16
Calanus,acutus,A,B,0.5,135,0.03,16
Calanus,acutus,A,B,0.5,135,0.062,16
Calanus,acutus,A,B,0.5,135,0.066,16
Calanus,acutus,A,B,0.5,135,0.007,16
Calanus,acutus,A,B,0.5,135,0.011,16
Calanus,acutus,A,B,0.5,135,0.016,16
Calanus,acutus,A,B,0.5,135,0.018,16
Calanus,acutus,A,B,0.5,135,0.036,16
Calanus,acutus,A,B,0.5,135,0.046,16
Calanus,acutus,A,B,0.5,135,0.03,16
Calanus,acutus,A,B,0.5,135,0.041,16
Calanus,acutus,A,B,0.5,135,0.039,16
Calanus,acutus,A,B,0.5,135,0.039,16
Calanus,acutus,A,B,0.5,135,0.064,16
Calanus,acutus,A,B,0.5,135,0.036,16
Calanus,acutus,A,B,0.5,135,0.027,16
Calanus,acutus,A,B,0.5,135,0.052,16
Calanus,acutus,A,B,0.5,135,0.053,16
Calanus,acutus,A,B,0.5,135,0.021,16
Calanus,acutus,A,B,135,0.014,35,
Calanus,acutus,A,B,135,0.025,35,
Calanus,acutus,A,B,135,0.032,35,
Calanus,acutus,A,B,135,0.037,35,
Calanus,acutus,A,B,135,0.043,35,
Calanus,acutus,A,B,135,0.08,35,
,,,,,,,
Calanoides,carinatus,A,B,17,49.2,0.096,66
,,,,,,,
Calanus,agulhensis,A,B,17,81,0.056,66
Calanus,agulhensis,A,B,19,80.8,0.03,17
Calanus,agulhensis,A,B,19,80.8,0.03,17
Calanus,agulhensis,A,B,19,80.8,0.02,17
Calanus,agulhensis,A,B,19,80.8,0.02,17
Calanus,agulhensis,A,B,19,80.8,0.02,17
Calanus,agulhensis,A,B,19,80.8,0.01,17
Calanus,agulhensis,A,B,19,80.8,0.04,17
Calanus,agulhensis,A,B,19,80.8,0.02,17
Calanus,agulhensis,A,B,19,80.8,0.04,17
Calanus,agulhensis,A,B,19,80.8,0.04,17
Calanus,agulhensis,A,B,19,80.8,0.03,17
Calanus,agulhensis,A,B,19,80.8,0.02,17
Calanus,agulhensis,C,B,19,1.6,0.42,17
Calanus,agulhensis,C,B,19,3.6,0.26,17
Calanus,agulhensis,C,B,19,3.6,0.43,17
Calanus,agulhensis,C,B,19,8.8,0.23,17
Calanus,agulhensis,C,B,19,8.8,0.21,17
Calanus,agulhensis,C,B,19,18.4,0.07,17
Calanus,agulhensis,C,B,19,18.4,0.1,17
Calanus,agulhensis,C,B,19,38.8,0.05,17
Calanus,agulhensis,C,B,19,38.8,0.06,17
Calanus,agulhensis,C,B,19,1.6,0.24,17
Calanus,agulhensis,C,B,19,1.6,0.63,17
Calanus,agulhensis,C,B,19,3.6,0.34,17
Calanus,agulhensis,C,B,19,3.6,0.33,17
Calanus,agulhensis,C,B,19,8.8,0.29,17
Calanus,agulhensis,C,B,19,8.8,0.26,17
Calanus,agulhensis,C,B,19,18.4,0.13,17
Calanus,agulhensis,C,B,19,18.4,0.1,17
Calanus,agulhensis,C,B,19,38.8,0.07,17
Calanus,agulhensis,C,B,19,38.8,0.02,17
Calanus,agulhensis,N,B,19,0.8,0.42,17
Calanus,agulhensis,N,B,19,0.8,0.45,17
Calanus,agulhensis,C,B,19,1.6,0.55,17
Calanus,agulhensis,C,B,19,1.6,0.54,17
Calanus,agulhensis,C,B,19,3.6,0.51,17
Calanus,agulhensis,C,B,19,3.6,0.58,17
Calanus,agulhensis,C,B,19,8.8,0.46,17
Calanus,agulhensis,C,B,19,8.8,0.28,17
Calanus,agulhensis,C,B,19,18.4,0.22,17
Calanus,agulhensis,C,B,19,18.4,0.16,17
Calanus,agulhensis,C,B,19,38.8,0.07,17
Calanus,agulhensis,C,B,19,38.8,0.08,17
Calanus,agulhensis,N,B,19,0.8,0.49,17
Calanus,agulhensis,N,B,19,0.8,0.58,17
Calanus,agulhensis,C,B,19,1.6,0.45,17
Calanus,agulhensis,C,B,19,1.6,0.45,17
Calanus,agulhensis,C,B,19,3.6,0.33,17
Calanus,agulhensis,C,B,19,3.6,0.39,17
Calanus,agulhensis,C,B,19,8.8,0.37,17
Calanus,agulhensis,C,B,19,8.8,0.22,17
Calanus,agulhensis,C,B,19,18.4,0.17,17
Calanus,agulhensis,C,B,19,18.4,0.22,17
Calanus,agulhensis,C,B,19,38.8,0.1,17
Calanus,agulhensis,C,B,19,38.8,0.08,17
Calanus,agulhensis,N,B,19,0.8,0.35,17
Calanus,agulhensis,N,B,19,0.8,0.51,17
Calanus,agulhensis,C,B,19,1.6,0.37,17
Calanus,agulhensis,C,B,19,1.6,0.52,17
